work	arbeide
bathe	bade
askFor,pray	be
cheat	bedra
begin	begynne
describe	beskrive
decide,Resolve	bestemme
order(foodEtc.)	bestille
mean(signify,matter)	bety
bind	binde
bite	bite
become(be)	bli
live(beResident)	bo
break	brekke
burn(SetToFire)	brenne
burn(BeOnFire)	brenne
break	bryte
bid	by
carry	baere
fall	dette
go,move,pull	dra
drink	drikke
operate(enterprise)	drive
dream	droamme
fall	falle
find	finne
exist	finnes
fly	fly
float	flyte
forbid	forby
suggest	foreslao
prefer	foretrekke
leave	forlate
understand	forstao
disappear	forsvinne
tell	fortelle
freeze,beCold	fryse
drift	fyke
fill,stuff	fylle
get,receive	fao
give	gi
concern	gjelde
hide	gjemme
do	gjoare
lookForwardTo	gledeSeg
forget	glemme
slip,Slide	gli
slipAway	glippe
rub	gni
cry(weep)	grine
catch,seize,grab	gripe
cry(weep)	graote
go,walk,leave	gao
happen,occur	hende
hang(besuspended)	henge
hang(suspend)	henge
BeCalled	hete
greet	hilse
help	hjelpe
hold	holde
hope	haope
know(person,place),feel	kjenne
dress	kle
cut	klippe
pinch	klype
crack,snap	knekke
pinch	knipe
come	komme
HaveAGoodTime	koseSeg
crawl	krype
Allow,Permit	la
make	lage
pretend	lateSom
laugh	le
Lay,PlaceDown,Put	legge
Lookfor,Search	lete
suffer	lide
LieDown	ligge
Lie(NotTellingTheTruth)	lyve
meet	moate
sneeze	nyse
enjoy	nyte
exaggerate	overdrive
suit(fitWell)	passe
chirp	pipe
useTo,Nurse	pleie
reach,catch	rekke
flow	renne
ride	ri
tear(apart)	rive
cry,shout,call	rope
burst	ryke
see,look	se
sell	selge
send	sende
place,put,set	sette
say,tell	si
sit	sitte
shine	skinne
tremble,shake	skjelve
cut,slice	skjaere
understand	skjoanne
cry(scream)	skrike
write	skrive
brag	skryte
beCausedBy	skyldes
wash	skylle
hurryUp	skynde
shoot	skyte
push	skyve
letGo	slippe
pull,tear,struggle	slite
beat	slao
fight	slaoss
bang	smelle
sneak	snike
sleep	sove
play(game)	spille
spin,purr	spinne
burst	sprekke
bounce,leap,jump	sprette
run	springe
ask,inquire	spoarre
spell	stave
careFor,nurse	stelle
tune,vote,beCorrect	stemme
close,block	stenge
rise,increase,mount	stige
sting,runaway	stikke
put,place,set	stille
steal	stjele
stretch,drawout	strekke
iron(clothes),fail(exam)	stryke
stand	stao
deceive,dissapoint	svike
swim	svoamme
sew	sy
think(mean),seem	synes
sing	synge
sink	synke
take	ta
think,suppose	tenke
offer	tilby
allow	tillate
meet	treffe
meeteachother	treffes
pull	trekke
need	trenge
feelfine,thrive	trives
force	tvinge
dry	toarke
dare	toarre
avoid	unngao
choose,elect	velge
gain,win	vinne
know(knowledge)	vite
grow,increase,wax	vokse
twist	vri
destroy	oadelegge
